データ日付,終値,始値,高値,安値
"2021/01/04","27258.38","27575.57","27602.11","27042.32"
"2021/01/05","27158.63","27151.38","27279.78","27073.46"
"2021/01/06","27055.94","27102.85","27196.40","27002.18"
"2021/01/07","27490.13","27340.46","27624.73","27340.46"
"2021/01/08","28139.03","27720.14","28139.03","27667.75"
"2021/01/12","28164.34","28004.37","28287.37","27899.45"
"2021/01/13","28456.59","28140.10","28503.43","28133.59"
"2021/01/14","28698.26","28442.73","28979.53","28411.58"
"2021/01/15","28519.18","28777.47","28820.50","28477.03"
"2021/01/18","28242.21","28238.68","28349.97","28111.54"
"2021/01/19","28633.46","28405.49","28720.91","28373.34"
"2021/01/20","28523.26","28798.74","28801.19","28402.11"
"2021/01/21","28756.86","28710.41","28846.15","28677.61"
"2021/01/22","28631.45","28580.20","28698.18","28527.16"
"2021/01/25","28822.29","28698.89","28822.29","28566.85"
"2021/01/26","28546.18","28696.30","28740.71","28527.81"
"2021/01/27","28635.21","28665.34","28754.99","28542.00"
"2021/01/28","28197.42","28169.27","28360.48","27975.85"
"2021/01/29","27663.39","28320.72","28320.72","27629.80"
"2021/02/01","28091.05","27649.07","28107.10","27649.07"
"2021/02/02","28362.17","28207.48","28379.31","28089.12"
"2021/02/03","28646.50","28482.71","28669.95","28402.30"
"2021/02/04","28341.95","28557.46","28600.22","28325.89"
"2021/02/05","28779.19","28631.46","28785.71","28548.27"
"2021/02/08","29388.50","28831.58","29400.56","28817.60"
"2021/02/09","29505.93","29435.61","29585.75","29350.48"
"2021/02/10","29562.93","29412.55","29562.93","29368.18"
"2021/02/12","29520.07","29635.88","29650.51","29417.32"
"2021/02/15","30084.15","29662.41","30092.34","29662.41"
"2021/02/16","30467.75","30229.46","30714.52","30191.65"
"2021/02/17","30292.19","30366.82","30398.20","30191.01"
"2021/02/18","30236.09","30311.98","30560.49","30140.01"
"2021/02/19","30017.92","29970.59","30169.59","29847.33"
"2021/02/22","30156.03","30281.78","30458.13","30089.18"
"2021/02/24","29671.70","30020.11","30089.59","29671.70"
"2021/02/25","30168.27","30077.27","30213.28","30044.43"
"2021/02/26","28966.01","29753.73","29760.31","28966.01"
"2021/03/01","29663.50","29419.45","29686.39","29396.04"
"2021/03/02","29408.17","29939.75","29996.39","29314.82"
"2021/03/03","29559.10","29482.12","29604.37","29336.60"
"2021/03/04","28930.11","29198.42","29277.19","28711.04"
"2021/03/05","28864.32","28725.48","28867.83","28308.57"
"2021/03/08","28743.25","29208.19","29255.90","28644.26"
"2021/03/09","29027.94","28748.87","29053.56","28609.21"
"2021/03/10","29036.56","29118.28","29233.47","28960.09"
"2021/03/11","29211.64","29033.92","29255.42","28995.33"
"2021/03/12","29717.83","29287.74","29744.32","29210.40"
"2021/03/15","29766.97","29804.50","29884.73","29670.31"
"2021/03/16","29921.09","29770.39","30026.40","29755.47"
"2021/03/17","29914.33","29836.83","29984.97","29825.16"
"2021/03/18","30216.75","30148.48","30485.00","30041.50"
"2021/03/19","29792.05","29904.57","30049.77","29621.22"
"2021/03/22","29174.15","29444.10","29472.98","29107.63"
"2021/03/23","28995.92","29381.49","29496.83","28995.92"
"2021/03/24","28405.52","28765.55","28867.67","28379.06"
"2021/03/25","28729.88","28457.33","28821.83","28414.92"
"2021/03/26","29176.70","29068.52","29240.74","28953.22"
"2021/03/29","29384.52","29478.12","29578.37","29200.88"
"2021/03/30","29432.70","29365.04","29478.20","29283.89"
"2021/03/31","29178.80","29278.33","29348.99","29165.52"
"2021/04/01","29388.87","29441.91","29585.46","29318.82"
"2021/04/02","29854.00","29704.66","29869.67","29694.09"
"2021/04/05","30089.25","30084.61","30195.00","30024.25"
"2021/04/06","29696.63","30208.89","30208.89","29665.86"
"2021/04/07","29730.79","29743.48","29867.94","29523.55"
"2021/04/08","29708.98","29675.88","29744.79","29516.42"
"2021/04/09","29768.06","29865.53","30064.35","29768.06"
"2021/04/12","29538.73","29874.43","29876.04","29538.73"
"2021/04/13","29751.61","29605.69","29897.11","29573.79"
"2021/04/14","29620.99","29718.06","29722.40","29567.18"
"2021/04/15","29642.69","29573.90","29787.66","29558.55"
"2021/04/16","29683.37","29789.08","29789.08","29621.83"
"2021/04/19","29685.37","29688.32","29808.01","29530.84"
"2021/04/20","29100.38","29355.87","29361.28","29014.36"
"2021/04/21","28508.55","28660.36","28778.93","28419.84"
"2021/04/22","29188.17","28880.78","29192.39","28800.86"
"2021/04/23","29020.63","28939.12","29035.34","28770.62"
"2021/04/26","29126.23","29095.49","29241.28","28896.37"
"2021/04/27","28991.89","29174.53","29187.11","28990.19"
"2021/04/28","29053.97","28935.51","29139.70","28875.91"
"2021/04/30","28812.63","28996.66","29046.49","28760.27"
"2021/05/06","29331.37","29024.01","29430.22","28966.47"
"2021/05/07","29357.82","29330.45","29449.86","29237.36"
"2021/05/10","29518.34","29376.89","29685.41","29346.14"
"2021/05/11","28608.59","29238.56","29289.12","28535.36"
"2021/05/12","28147.51","28712.10","28831.03","27888.59"
"2021/05/13","27448.01","27929.01","27961.96","27385.03"
"2021/05/14","28084.47","27723.70","28139.96","27723.70"
